timestamp,tweet_text,username,all_hashtags
2019-03-14 16:27:07,"True, true.  #Instagram #Instagramdown #Facebookdown https://t.co/T613Expx2X",bklyn_hayshun,"['Instagram', 'Instagramdown', 'Facebookdown']"
2019-03-14 16:26:46,How to prepare yourself for social media outage? How can you make sure your social media strategy is sustainable? Check out our guest post on GetaNewsletter's blog &amp; find out how to use social media to collect email subscribers https://t.co/yKXmmCwgpA #facebookdown #instagramdown,Postfity,"['facebookdown', 'instagramdown']"
2019-03-14 16:25:41,When #FacebookDown #facebookoutage #InstagramBlackout2019 &amp; #instagramdown Listening to Uptight (Everything's Alright) by Stevie Wonder on @PandoraMusic https://t.co/yUeuWezYFj https://t.co/5ArajObVHn,NikeMC,"['FacebookDown', 'facebookoutage', 'InstagramBlackout2019', 'instagramdown']"
2019-03-14 16:24:50,#FacebookDown and #instagramdown make me contemplate life so much. Teenagers nowadays spend more than 5 hours each day on social network while they can spend that time educating themselves about #crypto #blockchain and what project can generate $$$$ like #BCNEX #Bigbom #Zerobank,ftchkn,"['FacebookDown', 'instagramdown', 'crypto', 'blockchain', 'BCNEX', 'Bigbom', 'Zerobank']"
2019-03-14 16:24:01,"Facebook, Instagram And Whatsapp Hit By Major Outage https://t.co/1SeaHdWT7m #FacebookDown #instagramdown #whatsappdown #WorldNews https://t.co/6QisbysLl4",DailyMulligan,"['FacebookDown', 'instagramdown', 'whatsappdown', 'WorldNews']"
2019-03-14 16:23:07,The Blessings Of The Social Blackout For Our Brain → https://t.co/TXVpyG6Dfi  #peace #focus #brain #addiction #hypothalamus #priorities #resilience #facebookdown #instagramdown https://t.co/ytpd9nbDtN,Jojanneke,"['peace', 'focus', 'brain', 'addiction', 'hypothalamus', 'priorities', 'resilience', 'facebookdown', 'instagramdown']"
2019-03-14 16:22:07,#Checkout this #coversong 🎙🇩🇿 ❤ https://t.co/6nR8cCE3t5   #SouhilaBenLachhab #Algeria  #FacebookDown #instagramdown #Suzano #Facebook #BTSxSNL #SWEARTOGOD #Meb750FelsefeciAta #WeAreErdogan #instagram,SamoWissammt8,"['Checkout', 'coversong', 'SouhilaBenLachhab', 'Algeria', 'FacebookDown', 'instagramdown', 'Suzano', 'Facebook', 'BTSxSNL', 'SWEARTOGOD', 'Meb750FelsefeciAta', 'WeAreErdogan', 'instagram']"
2019-03-14 16:21:25,.@facebook has denied it was hacked despite the most severe outage in the firm's history that kept users locked out for more than 14 hours. #Facebookdown #Instagramdown  https://t.co/epwnYj6hzZ,tech2eets,"['Facebookdown', 'Instagramdown']"
2019-03-14 16:21:03,"Andy didn't let #facebookdown or #instagramdown get him down! Thank you to everyone who donated a total of $8,445 to build a stronger community. #rvgives2019 may be over, but your support will impact others for a lifetime of #restoringhope. https://t.co/vuKj5YjQLL",FamilyServiceRV,"['facebookdown', 'instagramdown', 'rvgives2019', 'restoringhope']"
2019-03-14 16:20:23,Now we know why #instagramdown and #FacebookDown . It's because of #AvengersEndgame https://t.co/wXeQ8mQbya,rkhariesh,"['instagramdown', 'FacebookDown', 'AvengersEndgame']"
2019-03-14 16:20:14,"Telegram Messenger Gained 3 Million New Users Within Last 24 Hours!  https://t.co/Fpo4xFZ5Yh  Thanks to the Facebook, Instagram, and WhatsApp Global Outages.  #facebookisdown #FacebookDown #facebookisdown #whatsappdown #instagramdown #InstagramBlackout2019 #instagramisdown https://t.co/D8mrgGAmLm",unix_root,"['facebookisdown', 'FacebookDown', 'facebookisdown', 'whatsappdown', 'instagramdown', 'InstagramBlackout2019', 'instagramisdown']"
2019-03-14 16:20:01,"In the aftermath of #FacebookDown #instagramdown #whatsappdown @guardian asks, are we in too deep? https://t.co/xScAfYGPyu",we_are_queenbee,"['FacebookDown', 'instagramdown', 'whatsappdown']"
